fiscal_year,assistance_category_name,current_amount,constant_amount
2005,Economic,96411000,114105353
2005,Economic,27414000,32445303
2003,Economic,24893622,31140078
2005,Economic,21500000,25445904
2005,Economic,21280000,25185527
2005,Economic,13772000,16299581
2012,Economic,13000000,13427370
2000,Economic,11994000,15911519
2013,Economic,11156288,11326053
2011,Economic,9811200,10311109
2015,Economic,9600000,9472046
2005,Economic,9267000,10967776
2011,Economic,8774908,9222016
2015,Economic,8595018,8480460
2011,Military,8500000,8933099
2012,Military,8236000,8506755
2005,Economic,8000000,9468243
2014,Economic,7681726,7681726
2000,Economic,7400000,9817012
2009,Economic,7038616,7607336
2014,Economic,7000000,7000000
2005,Economic,6935830,8208765
2015,Economic,6592656,6504786
2014,Military,6175000,6175000
2011,Economic,6065273,6374316
2011,Economic,5921000,6222692
2008,Economic,5588000,6110390
2007,Economic,5531171,6173161
2013,Economic,5500000,5583693
2003,Economic,5482986,6858809
2004,Economic,5445570,6647359
2013,Economic,5093895,5171408
2005,Economic,4983000,5897532
2015,Economic,4896265,4831005
2005,Economic,4841076,5729561
2014,Economic,4799834,4799834
2013,Military,4787000,4859843
2005,Economic,4730000,5598098
2012,Economic,4658043,4811174
2016,Economic,4635586,4502283
2014,Military,4500000,4500000
2003,Economic,4418000,5526590
2015,Economic,4349189,4291221
2014,Economic,4236651,4236651
2014,Economic,4200000,4200000
2001,Economic,4149564,5374939
2004,Economic,4129600,5040966
2002,Economic,4081000,5202577
2000,Economic,4075000,5405989
2004,Economic,4063000,4959668
2013,Economic,4000000,4060867
2011,Economic,3934727,4135212
2010,Economic,3913692,4193435
2010,Economic,3842087,4116712
2001,Economic,3825000,4954530
2009,Military,3824000,4132979
2004,Economic,3746074,4572800
2003,Economic,3728856,4664522
2011,Economic,3675000,3862252
2008,Military,3629000,3968254
2001,Economic,3615815,4683572
2009,Economic,3560000,3847648
2008,Economic,3473000,3797671
2011,Economic,3418495,3592677
2003,Economic,3412884,4269265
2001,Economic,3402999,4407912
2016,Economic,3398633,3300900
2006,Economic,3352927,3843296
2009,Economic,3314900,3582743
2006,Economic,3300554,3783263
2001,Economic,3294000,4266724
2014,Economic,3282719,3282719
2005,Economic,3279000,3880796
2013,Economic,3215423,3264352
2012,Economic,3202431,3307709
2006,Economic,3200000,3668002
2015,Economic,3143158,3101264
2014,Economic,3114020,3114020
2005,Economic,3090164,3657303
2015,Economic,3044009,3003437
2007,Economic,3020001,3370525
2008,Economic,3000000,3280453
2015,Economic,3000000,2960014
2012,Economic,3000000,3098623
2015,Economic,2975000,2935347
2002,Economic,2945913,3755535
2002,Economic,2903105,3700962
2008,Economic,2891222,3161506
2006,Economic,2883768,3305522
2005,Economic,2879756,3408279
2005,Economic,2855000,3378979
2013,Military,2848291,2891633
2008,Economic,2840358,3105887
2015,Economic,2836614,2798806
2013,Economic,2800000,2842607
2013,Economic,2778910,2821196
2007,Economic,2750000,3069186
2013,Economic,2700000,2741085
2007,Economic,2700000,3013382
2013,Economic,2700000,2741085
2006,Economic,2670000,3060489
2001,Economic,2622000,3396281
2010,Economic,2621751,2809148
2003,Economic,2595500,3246778
2005,Economic,2563377,3033835
2004,Economic,2528961,3087080
2007,Economic,2500000,2790169
2014,Economic,2500000,2500000
2011,Economic,2460695,2586075
2002,Economic,2442555,3113839
2007,Economic,2420400,2701330
2003,Economic,2406280,3010078
2007,Economic,2400000,2678562
2011,Economic,2389871,2511642
2008,Economic,2385864,2608905
2004,Military,2375000,2899141
2010,Military,2357000,2525473
2003,Economic,2354927,2945840
2005,Economic,2352706,2784500
2004,Economic,2340062,2856493
2012,Economic,2339169,2416069
2005,Economic,2337840,2766904
2006,Economic,2330174,2670964
2007,Economic,2300950,2568016
2005,Economic,2300000,2722120
2004,Economic,2300000,2807589
2013,Economic,2293755,2328659
2010,Economic,2264963,2426858
2014,Economic,2234197,2234197
2011,Economic,2223729,2337034
2006,Economic,2220000,2544677
2007,Economic,2200000,2455349
2006,Economic,2135562,2447889
2006,Economic,2134344,2446494
2013,Economic,2126000,2158351
2002,Economic,2125002,2709015
2006,Economic,2121004,2431203
2008,Economic,2116340,2314185
2013,Economic,2103003,2135004
2003,Economic,2100905,2628077
2012,Economic,2100818,2169881
2012,Economic,2100000,2169036
2010,Economic,2100000,2250104
2014,Economic,2080618,2080618
2004,Economic,2070000,2526830
2014,Economic,2065000,2065000
2006,Economic,2065000,2367008
2010,Economic,2045454,2191659
2000,Economic,2002350,2656364
2014,Economic,2000000,2000000
2005,Economic,2000000,2367060
2010,Economic,2000000,2142956
2009,Economic,2000000,2161600
2015,Economic,2000000,1973343
2004,Economic,2000000,2441382
2010,Economic,2000000,2142956
2011,Economic,2000000,2101905
2009,Economic,2000000,2161600
2015,Economic,1960582,1934451
2010,Economic,1960003,2100100
2009,Economic,1952484,2110244
2008,Economic,1952484,2135010
2015,Economic,1926832,1901150
2008,Economic,1924000,2103864
2014,Economic,1900000,1900000
2001,Economic,1899574,2460522
2006,Economic,1887000,2162975
2007,Economic,1861900,2078006
2005,Economic,1844205,2182672
2009,Economic,1839000,1987591
2007,Economic,1822500,2034033
2008,Economic,1820000,1990141
2001,Economic,1820000,2357449
2001,Economic,1819265,2356497
2013,Economic,1816000,1843634
2006,Economic,1812687,2077794
2011,Economic,1800000,1891715
2008,Economic,1800000,1968271
2011,Economic,1800000,1891715
2004,Economic,1800000,2197244
2006,Economic,1800000,2063251
2005,Economic,1797346,2127214
2006,Economic,1793600,2055915
2016,Economic,1791068,1739563
2014,Economic,1791053,1791053
2003,Economic,1774375,2219612
2011,Economic,1760000,1849677
2015,Economic,1750793,1727458
2009,Economic,1735394,1875614
2013,Economic,1734000,1760386
2006,Economic,1677100,1922378
2013,Economic,1671000,1696427
2006,Economic,1669653,1913842
2013,Economic,1658852,1684094
2004,Economic,1645942,2009186
2009,Economic,1630207,1761927
2007,Economic,1630100,1819302
2015,Economic,1627521,1605828
2014,Economic,1625839,1625839
2001,Economic,1621800,2100720
2000,Economic,1620400,2149660
2007,Economic,1619795,1807801
2011,Economic,1613860,1696090
2007,Economic,1600000,1785708
2014,Economic,1600000,1600000
2001,Economic,1598555,2070611
2015,Economic,1591118,1569911
2006,Economic,1590800,1823455
2014,Economic,1587978,1587978
2003,Economic,1587022,1985248
2004,Economic,1580000,1928692
2005,Economic,1570827,1859121
2003,Economic,1568608,1962212
2005,Economic,1564600,1851751
2015,Economic,1559263,1538480
2003,Economic,1553034,1942730
2015,Economic,1550105,1529444
2002,Economic,1543579,1967799
2004,Economic,1537720,1877082
2002,Economic,1535474,1957467
2002,Economic,1515000,1931365
2006,Economic,1514894,1736449
2010,Military,1514000,1622217
2004,Economic,1513563,1847593
2013,Economic,1513000,1536023
2010,Economic,1509216,1617091
2007,Economic,1509000,1684146
2005,Economic,1509000,1785947
2002,Economic,1501087,1913629
2001,Economic,1501000,1944248
2015,Economic,1500000,1480007
2002,Economic,1500000,1912243
2010,Economic,1500000,1607217
2012,Economic,1500000,1549311
2013,Economic,1500000,1522825
2013,Economic,1497029,1519809
2005,Military,1492000,1765827
2008,Economic,1480143,1618513
2004,Economic,1479000,1805402
2006,Economic,1467800,1682467
2009,Economic,1461750,1579859
2013,Economic,1449684,1471744
2006,Economic,1444427,1655676
2013,Economic,1441962,1463905
2013,Economic,1414991,1436523
2003,Economic,1409645,1763361
2014,Economic,1403244,1403244
2013,Economic,1400000,1421303
2012,Economic,1385008,1430540
2015,Economic,1382015,1363595
2007,Military,1375000,1534593
2008,Economic,1369989,1498061
2016,Economic,1360000,1320891
2004,Economic,1359000,1658919
2015,Economic,1357054,1338966
2009,Economic,1352009,1461252
2006,Economic,1346800,1543770
2009,Economic,1339283,1447497
2012,Economic,1338149,1382140
2009,Economic,1331251,1438816
2005,Military,1318000,1559893
2004,Economic,1312458,1602105
2004,Military,1308000,1596664
2004,Economic,1300000,1586898
2004,Economic,1300000,1586898
2011,Economic,1300000,1366238
2006,Economic,1290603,1479355
2016,Economic,1284375,1247441
2015,Economic,1281275,1264197
2010,Economic,1277000,1368277
2013,Economic,1267000,1286279
2016,Economic,1264052,1227702
2008,Economic,1257000,1374509
2006,Economic,1254500,1437971
2008,Economic,1250000,1366855
2013,Economic,1248160,1267153
2015,Economic,1233386,1216946
2008,Economic,1231025,1346106
2014,Economic,1229409,1229409
2014,Economic,1229000,1229000
2006,Military,1214000,1391548
2006,Economic,1213258,1390699
2007,Economic,1209243,1349597
2012,Economic,1205000,1244614
2004,Economic,1204936,1470855
2008,Economic,1200000,1312181
2015,Economic,1190060,1174199
2007,Military,1190000,1328120
2014,Economic,1189238,1189238
2012,Economic,1188439,1227508
2010,Economic,1183721,1268331
2005,Economic,1178273,1394521
2005,Economic,1178136,1394360
2009,Economic,1173608,1268436
2011,Economic,1173000,1232767
2005,Economic,1172073,1387185
2002,Economic,1158300,1476634
2008,Economic,1153520,1261356
2007,Economic,1152204,1285937
2002,Economic,1149354,1465230
2014,Economic,1146000,1146000
2008,Economic,1142933,1249779
2015,Economic,1142698,1127467
2011,Economic,1133870,1191644
2010,Economic,1131000,1211841
2006,Economic,1130748,1296121
2002,Economic,1126425,1435999
2000,Economic,1113000,1476531
2004,Economic,1110000,1354967
2004,Economic,1109349,1354172
2007,Military,1091000,1217629
2010,Economic,1088861,1166690
2004,Military,1069000,1304918
2014,Economic,1059458,1059458
2002,Economic,1056855,1347309
2010,Economic,1056283,1131784
2008,Military,1055000,1153626
2014,Economic,1052000,1052000
2002,Economic,1048827,1337075
2006,Economic,1044006,1196693
2005,Economic,1044000,1235605
2002,Economic,1043464,1330238
2001,Economic,1032000,1336751
2006,Economic,1018084,1166979
2012,Economic,1017931,1051395
2009,Economic,1013204,1095070
2003,Military,1010000,1263435
2005,Economic,1004200,1188501
2002,Military,1001000,1276103
2014,Economic,1000000,1000000
2014,Economic,1000000,1000000
2015,Economic,1000000,986671
2011,Economic,1000000,1050952
2002,Economic,1000000,1274828
2003,Economic,1000000,1250925
2002,Economic,1000000,1274828
2011,Economic,1000000,1050952
2013,Economic,1000000,1015216
2012,Military,1000000,1032874
2011,Military,998000,1048851
2001,Economic,996000,1290120
2004,Economic,995898,1215684
2008,Economic,994312,1087264
2007,Economic,994000,1109371
2005,Economic,992532,1174692
2005,Economic,987875,1169180
2005,Economic,981716,1161890
2014,Economic,979434,979434
2013,Economic,978999,993896
2007,Economic,972000,1084817
2014,Economic,948000,948000
2008,Military,929000,1015847
2003,Economic,924820,1156881
2004,Economic,924457,1128476
2001,Economic,919080,1190486
2005,Economic,912600,1080089
2006,Economic,900000,1031625
2003,Economic,900000,1125833
2006,Military,891000,1021309
2005,Economic,887870,1050821
2008,Economic,883659,966268
2003,Economic,881850,1103129
2005,Economic,873600,1033932
2010,Economic,869603,931760
2015,Economic,869128,857544
2015,Economic,859186,847734
2002,Economic,858000,1093803
2015,Economic,857301,845874
2008,Economic,850000,929461
2009,Economic,850000,918680
2006,Economic,850000,974313
2002,Economic,844913,1077119
2006,Economic,839000,961704
2007,Economic,834000,930800
2001,Economic,831265,1076739
2015,Economic,827752,816719
2007,Economic,825148,920921
2011,Economic,824338,866340
